Data,Frequency
16,6
콤비네이션,6
박사,6
꼬치,6
촉,6
바이오,6
당근,6
닭개장,6
르마,6
대형,6
모과차,6
맥콜,6
태양,6
잎,6
레쓰비,6
샘물,6
푸딩,6
생강차,6
사탕,6
카토,6
부산,6
레이크,6
그린,6
종,6
그릴,6
금,6
건조,6
양파링,6
믹,6
들기름,6
건빵,6
쑥갓,6
오리온,5
알로에,5
유정,5
겸용,5
무화과,5
동원미니돈까스,5
연산,5
아,5
시금치,5
80,5
분,5
호빵,5
콘푸로스트,5
허브,5
따,5
라이,5
졸,5
글,5
크림치즈,5
100,5
상자,5
사이다,5
비피더스명장포도,5
금액,5
건전지,5
거봉,5
다크,5
해찬들새콤달콤초고추장,5
갈이,5
비스킷,5
떡국,5
균,5
장조,5
곰,5
올리브,5
블랙커피,5
게토레이,5
동원골든스위트콘,5
양초,5
다리,5
범벅,5
연시,5
대추차,5
단팥빵,5
비비고,5
무우,5
포리,5
림,5
리스,5
단감,5
밤,5
라벤더,5
열무,5
목사,5
드링크,5
조지아,5
아이비,5
매트,5
케이크,5
AA,5
닥터페퍼,5
핫식스,5
밀,5
강냉이,5
커피믹스,5
칫솔,5
웨하스,5
팥,5
돌솥비빔밥,5
두피,5
신,5
차돌박이,5
타,5
훈제,5
통깨,5
단백질,5
아침,5
지방,5
킹,5
후추,5
미닛제주감귤,5
주산,5
직,5
부초,5
지밀,5
손상,5
서울,5
젓갈,5
사태,5
얼음,4
뻥튀기,4
코카,4
영양,4
펀치,4
600,4
섬유,4
21,4
오곡,4
킬바사,4
접시,4
고시히카리,4
PET,4
경단,4
햄스빌베이컨,4
해,4
보리차,4
행사,4
꼬깔콘,4
알파,4
동,4
하임,4
분말,4
비닐,4
로,4
자일리톨,4
튜브,4
주방,4
자두,4
더블,4
따개,4
유기농,4
고래밥,4
인절미,4
코기,4
계장,4
내기,4
망,4
참,4
아이,4
대국,4
제스,4
200,4
국시,4
40,4
50,4
소포,4
고르곤졸라,4
콜라,4
토스트,4
스포,4
꿀,4
핫바,4
코카콜라 제로,4
청국장,4
몽,4
1200,4
동원리,4
요구,4
닭볶음탕,4
건강,4
이프,4
미원,4
샤브샤브,4
오곡밥,4
럭스,4
홍동,4
발아현미,4
혼합,4
오뚜기스위트콘,4
스모크,4
짜장면,4
디,4
현미밥,4
진한,4
당,4
보름달,4
편육,4
농심,4
백설압착올리브유,4
300,4
햄스빌굿베이컨,4
아침햇살,4
뱅,4
곱창전골,4
감바스,4
사조,4
기장,4
카스,4
샐러드,4
매시,4
구,4
업소,4
자갈치,4
메로나,4
새송이,4
중화,4
귤,4
껍데기,4
태국,4
어치,4
요플레,4
2000,4
테이블,4
비요,4
진,4
너구리,4
매우,4
25,4
마요네즈,4
과즙,4
새콤달콤초고추장,3
조개,3
소다,3
치즈볼,3
통사,3
책,3
옥동자,3
통팥,3
콩나물국,3
굴,3
프라임,3
향용,3
내장,3
거,3
이상,3
도토리묵,3
무지,3
메리,3
275,3
패,3
13,3
참나물,3
등갈비,3
드레,3
고려인삼,3
바사,3
풀무원,3
케일,3
버,3
도식,3
엔,3
우거지,3
35,3
애,3
중국산,3
삼양,3
봉봉,3
사리면,3
파워,3
돼지,3
치마,3
조지아크래프트_,3
오징어채,3
24,3
테,3
콤비,3
초고,3
햄스빌구이한판,3
재래,3
옛날,3
찜,3
연유,3
아라비아,3
머스타드,3
복이,3
주먹,3
음료,3
김전,3
귀리,3
볼트,3
볼륨,3
불,3
싱글,3
갈비살,3
샤인머스켓,3
삼,3
홀,3
로션,3
다이,3
모나카,3
근위,3
페투치네,3
전복,3
파워에이드마운틴블라스트,3
용,3
조지아크래프트카페라떼,3
조지아크래프트아메리카노,3
틈새라면,3
담,3
소보,3
장용,3
스프레이,3
밍스,3
250,3
스티,3
미,3
냉장,3
여왕,3
쥐포,3
즉석,3
득,3
꾸이맨,3
새,3
제소,3
초정탄산수,3
쌍쌍바,3
이오,3
1400,3
젠,3
누드,3
벌꿀,3
청양,3
닭다리,3
시간,3
사리곰탕면,3
갈릭고르곤졸라치즈크러스트피자,3
함흥냉면,3
티크,3
시어버터,3
식탁,3
컬리,3
핫초코,3
줄기,3
카페오레,3
썬,3
무스,3
동원후르츠칵테일,3
페페로니디럭스치즈크러스트피자,3
양송이,3
연두,3
동원더킹크랩스,3
비지,3
꼬북칩콘스프,3
바스,3
마차,3
팝,3
240,3
고추기름,3
딸기우유,3
민,3
동원더킹랍스터,3
오징어짬뽕,3
오즈,3
알래스카,3
스트롱,3
베이직,3
추봉,3
런,3
미숫가루,3
수박,3
로스,3
GT,3
백숙,3
스팸,3
라일락,3
치즈스틱,3
해태,3
건,3
숙성,3
약,3
흰밥,3
중형,3
기국,3
카페인,3
닭강정,3
셋트,3
도시락,3
차우더,3
고티카,3
깍두기,3
꼬리곰탕,3
청우,2
클린,2
켈로그첵스초코,2
무파마,2
정가,2
클리닉,2
임자,2
콜럼비아마스터라떼,2
안,2
크라운제과,2
밀크초콜릿,2
티라미수,2
목캔디,2
15,2
설레임,2
Dole후르츠칵테일,2
햄버거,2
호일,2
무침,2
비피더스명장베리믹스,2
티오피_마스터블렌드,2
정사,2
파워에이드_블라스트,2
양지,2
족,2
한우,2
끈,2
롱파운드케익,2
더킹랍스터맛,2
비스트,2
대봉,2
인디안밥,2
다방커피헤이즐넛,2
소다포도,2
년,2
셀,2
농심벌집핏자,2
펩시블랙,2
레쓰비그란데헤이즐넛,2
에너자이저,2
꽃게,2
800,2
구미,2
설거지,2
줄,2
먹,2
사파리,2
설,2
상,2
조지아크래프트블,2
18,2
잔치,2
탑,2
양반,2
루비,2
치노,2
퍼지,2
보나,2
22년,2
왕꿈틀이,2
화이,2
버거,2
금호,2
러브,2
전분,2
백서,2
크랩봉,2
들깨,2
월계수,2
현,2
신가,2
홍게,2
멜론,2
아끼바레,2
오미자,2
리오,2
맛나,2
원액,2
콜드,2
팬,2
등,2
오호,2
푸르밀비피더스사,2
곤,2
허쉬너켓쿠키엔크림,2
매일슈레드피자치즈,2
뽀로로밀크맛,2
지,2
하,2
400,2
롯데샌드,2
동글,2
밀크티,2
오란씨,2
영양왕,2
잣죽,2
에이,2
콜롬비아나,2
가족나들이새콤달,2
엠보싱,2
소라,2
리지,2
355,2
와일드바디,2
솔루션,2
날,2
한진,2
롯데 자일리톨,2
메,2
헤이,2
크 쿠크다스커피,2
데,2
텐,2
양상,2
수세미,2
핑크베리,2
파워에이드메카볼츠,2
바른,2
로스트,2
고로케,2
크리스,2
절,2
엿,2
냅킨,2
강낭콩,2
로스팅,2
코르,2
인증,2
크리넥스,2
청사,2
멀티,2
리라,2
로우,2
슬로,2
김치라면,2
짜,2
군마,2
동원_바른어묵얇,2
소시,2
곽,2
돌,2
미국,2
브로콜리,2
350,2
팬틴극손상케어샴,2
케익,2
오뚜기케찹스파우트팩,2
액수,2
마사,2
술,2
류,2
옷,2
머스크메론,2
하나,2
조지아크래프트블랙,2
장아찌,2
뽁,2
결명자차,2
리코스,2
바니,2
회,2
달,2
플라워,2
암바사,2
소백산,2
하림,2
홈런볼쵸코4번들,2
6000,2
샘,2
파라다이스,2
개장,2
라,2
천연사이다,2
CJ 햄스빌굿베이컨,2
허쉬너겟아몬드,2
허쉬너겟밀크,2
시트,2
체리,2
컨디션,2
참외,2
로럴,2
시트러스,2
버스,2
황,2
책자,2
종합어,2
징후,2
장사,2
도가니,2
크라운_쿠크다스 ,2
칠성사이다제로펫,2
요,2
삼립,2
천,2
퐁퐁친환경주방세,2
노랑,2
메로,2
춘장,2
후라이,2
근대,2
골,2
동원_골든스위트,2
쿠크다스,2
슈거,2
모닝,2
22,2
파우더,2
와일드,2
종이컵,2
에스프레소,2
번들,2
케찹,2
230,2
스파크,2
나라,2
프로,2
짜짜로니,2
한성기업,2
전기밥솥,2
치석,2
카라,2
벌,2
토스,2
식자재왕수제등심돈까스,2
콘푸라이트밀크바,2
식자재왕생선까스,2
프레스코,2
빈티지,2
삼계,2
까,2
다스,2
트리,2
액션,2
도요,2
식자재왕치킨너겟,2
우거,2
로코,2
순사,2
대림_스노우크랩,2
차돌,2
생선까스,2
칠레,2
햄스빌아침에베이,2
테라,2
우리동네,2
고등,2
교,2
키,2
델몬트망고쥬스,2
뉴,2
세탁비누,2
델리,2
초장,2
커스,2
약간,2
퀴진인싸이드치킨&떡강정,2
피망,2
가라아게,2
릭,2
표백제,2
31,2
